Mission,Initiative,Destination,Mission_Type,LaunchY,Planned_Budget,Actual_Cost,Variance_Amount,Variance_Pct,Variance_Category,Schedule_Variance_Months,Schedule_Status,Success,Complexity_Score
Galileo,Independent,Jupiter,Orbiter,1989,410.10,1639.00,1228.90,299.66,"5 - Critical Overrun  (>50%)",74.00,"Significantly Delayed",Success,2
"MSL - Curiosity",Flagship,Mars,Rover,2011,1068.50,2337.10,1268.60,118.73,"5 - Critical Overrun  (>50%)",25.00,"Significantly Delayed",Operational,3
Juno,"New Frontiers 2",Jupiter,Orbiter,2006,700.00,1114.10,414.10,59.16,"5 - Critical Overrun  (>50%)",26.00,"Significantly Delayed",Success,0
Dawn,"Discovery 9",Asteroid,Orbiter,2007,202.80,287.10,84.30,41.57,"4 - Major Overrun     (20-50%)",16.00,"Significantly Delayed",Success,0
Contour,"Discovery 6",Comet,Flyby,2002,69.10,96.80,27.70,40.09,"4 - Major Overrun     (20-50%)",1.00,"Slightly Delayed",Failure,1
"2001 Mars Odyssey","Mars Surveyor",Mars,Orbiter,2001,267.20,366.10,98.90,37.01,"4 - Major Overrun     (20-50%)",1.00,"Slightly Delayed",Operational,1
"Deep Space 1","New Millennium",Comet,Flyby,1998,73.30,99.30,26.00,35.47,"4 - Major Overrun     (20-50%)",0.00,"On Schedule",Success,0
"Mars Recon Orbiter",Independent,Mars,Orbiter,1999,334.40,450.00,115.60,34.57,"4 - Major Overrun     (20-50%)",1.00,"Slightly Delayed",Success,1
Genesis,"Discovery 5",L1,"Sample Return",2001,126.10,162.90,36.80,29.18,"4 - Major Overrun     (20-50%)",9.00,"Slightly Delayed",Success,1
Psyche,"Discovery 14","Asteroid Belt",Orbiter,2023,925.00,1108.10,183.10,19.79,"3 - Minor Overrun     (0-20%)",13.00,"Significantly Delayed",Operational,0
Messenger,"Discovery 7",Mercury,Orbiter,2004,326.20,390.00,63.80,19.56,"3 - Minor Overrun     (0-20%)",6.00,"Slightly Delayed",Success,0
Dart,"Planetary Def",Asteroid,Impact,2021,219.00,258.30,39.30,17.95,"3 - Minor Overrun     (0-20%)",6.00,"Slightly Delayed",Success,0
"Mars Observer",Independent,Mars,Orbiter,1992,458.60,511.20,52.60,11.47,"3 - Minor Overrun     (0-20%)",0.00,"On Schedule",Failure,1
Stardust,"Discovery 4",Comet,"Sample Return",1999,117.80,126.40,8.60,7.30,"3 - Minor Overrun     (0-20%)",0.00,"On Schedule",Success,1
Ladee,Independent,Lunar,Orbiter,2013,262.90,279.20,16.30,6.20,"3 - Minor Overrun     (0-20%)",12.00,"Slightly Delayed",Success,0
Grail-A,"Discovery 11A",Lunar,Orbiter,2011,213.50,224.35,10.85,5.08,"3 - Minor Overrun     (0-20%)",2.00,"Slightly Delayed",Success,0
Grail-B,"Discovery 11B",Lunar,Orbiter,2011,213.50,224.35,10.85,5.08,"3 - Minor Overrun     (0-20%)",2.00,"Slightly Delayed",Success,0
Lucy,"Discovery 13",Jupiter,Flyby,2021,990.00,999.20,9.20,0.93,"3 - Minor Overrun     (0-20%)",0.00,"On Schedule",Operational,0
"Lunar Prospector","Discovery 3",Lunar,Orbiter,1998,61.30,61.70,0.40,0.65,"3 - Minor Overrun     (0-20%)",4.00,"Slightly Delayed",Success,0
"Mars Climate Orbiter","MPLMCO 1 of 2",Mars,Orbiter,1999,183.60,183.25,-0.35,-0.19,"1 - Under Budget",0.00,"On Schedule",Failure,0
MAVEN,"Scout 2",Mars,Orbiter,2013,567.20,551.10,-16.10,-2.84,"1 - Under Budget",0.00,"On Schedule",Operational,0
Cassini,Independent,Saturn,Orbiter,1992,1436.40,1375.90,-60.50,-4.21,"1 - Under Budget",18.00,"Significantly Delayed",Success,1
"Mars Global Surveyor",Independent,Mars,Orbiter,1996,140.20,130.70,-9.50,-6.78,"1 - Under Budget",-1.00,"Ahead of Schedule",Success,1
"NEAR Shoemaker","Discovery 1",Asteroid,Orbiter,1996,249.40,230.80,-18.60,-7.46,"1 - Under Budget",-1.00,"Ahead of Schedule",Success,0
Osiris-Rex,"New Frontiers 3",Asteroid,"Sample Return",2016,865.90,775.10,-90.80,-10.49,"1 - Under Budget",0.00,"On Schedule",Operational,0
